employee,reader,start,end,delta,success
1,10,2022-06-19T19:11:57Z,2022-06-19T19:11:58Z,262.7609ms,True
1,3,2022-06-19T19:11:58Z,2022-06-19T19:11:58Z,283.7074ms,True
1,4,2022-06-19T19:11:58Z,2022-06-19T19:11:58Z,264.479ms,True
1,2,2022-06-19T19:11:58Z,2022-06-19T19:11:58Z,266.6104ms,True
1,8,2022-06-19T19:11:58Z,2022-06-19T19:11:59Z,250.5338ms,True
1,9,2022-06-19T19:11:59Z,2022-06-19T19:11:59Z,258.1251ms,True
1,10,2022-06-19T19:11:59Z,2022-06-19T19:11:59Z,290.3343ms,True
1,1,2022-06-19T19:11:59Z,2022-06-19T19:11:59Z,266.2918ms,True
1,9,2022-06-19T19:11:59Z,2022-06-19T19:12:00Z,270.4262ms,True
1,11,2022-06-19T19:12:00Z,2022-06-19T19:12:00Z,267.594ms,True
1,16,2022-06-19T19:12:00Z,2022-06-19T19:12:00Z,256.7646ms,True
1,12,2022-06-19T19:12:00Z,2022-06-19T19:12:00Z,260.8462ms,True
1,10,2022-06-19T19:12:00Z,2022-06-19T19:12:01Z,269.1227ms,True
1,3,2022-06-19T19:12:01Z,2022-06-19T19:12:01Z,267.8604ms,True
1,4,2022-06-19T19:12:01Z,2022-06-19T19:12:01Z,266.3648ms,True
1,2,2022-06-19T19:12:01Z,2022-06-19T19:12:02Z,277.4638ms,True
1,8,2022-06-19T19:12:02Z,2022-06-19T19:12:02Z,250.3291ms,True
1,9,2022-06-19T19:12:02Z,2022-06-19T19:12:02Z,257.4759ms,True
1,10,2022-06-19T19:12:02Z,2022-06-19T19:12:02Z,259.8585ms,True
1,1,2022-06-19T19:12:02Z,2022-06-19T19:12:03Z,269.3581ms,True
1,9,2022-06-19T19:12:03Z,2022-06-19T19:12:03Z,265.3525ms,True
1,11,2022-06-19T19:12:03Z,2022-06-19T19:12:03Z,271.1976ms,True
1,16,2022-06-19T19:12:03Z,2022-06-19T19:12:03Z,252.6784ms,True
1,12,2022-06-19T19:12:03Z,2022-06-19T19:12:04Z,268.3755ms,True
1,10,2022-06-19T19:12:04Z,2022-06-19T19:12:04Z,272.4258ms,True
1,3,2022-06-19T19:12:04Z,2022-06-19T19:12:04Z,272.7033ms,True
1,4,2022-06-19T19:12:04Z,2022-06-19T19:12:04Z,275.4428ms,True
1,2,2022-06-19T19:12:04Z,2022-06-19T19:12:05Z,277.4651ms,True
1,8,2022-06-19T19:12:05Z,2022-06-19T19:12:05Z,260.4354ms,True
1,9,2022-06-19T19:12:05Z,2022-06-19T19:12:05Z,253.8057ms,True
1,10,2022-06-19T19:12:05Z,2022-06-19T19:12:05Z,267.0074ms,True
1,1,2022-06-19T19:12:05Z,2022-06-19T19:12:06Z,269.397ms,True
1,9,2022-06-19T19:12:06Z,2022-06-19T19:12:06Z,277.7324ms,True
1,11,2022-06-19T19:12:06Z,2022-06-19T19:12:06Z,267.2771ms,True
1,16,2022-06-19T19:12:06Z,2022-06-19T19:12:07Z,250.9859ms,True
1,12,2022-06-19T19:12:07Z,2022-06-19T19:12:07Z,282.8745ms,True
1,10,2022-06-19T19:12:07Z,2022-06-19T19:12:07Z,406.9136ms,True
1,3,2022-06-19T19:12:07Z,2022-06-19T19:12:08Z,308.8525ms,True
1,4,2022-06-19T19:12:08Z,2022-06-19T19:12:08Z,279.5766ms,True
1,2,2022-06-19T19:12:08Z,2022-06-19T19:12:08Z,289.1165ms,True
1,8,2022-06-19T19:12:08Z,2022-06-19T19:12:08Z,266.5601ms,True
1,9,2022-06-19T19:12:08Z,2022-06-19T19:12:09Z,252.5013ms,True
1,10,2022-06-19T19:12:09Z,2022-06-19T19:12:09Z,257.9319ms,True
1,1,2022-06-19T19:12:09Z,2022-06-19T19:12:09Z,267.2885ms,True
1,9,2022-06-19T19:12:09Z,2022-06-19T19:12:09Z,279.5888ms,True
1,11,2022-06-19T19:12:09Z,2022-06-19T19:12:10Z,265.6867ms,True
1,16,2022-06-19T19:12:10Z,2022-06-19T19:12:10Z,259.6218ms,True
1,12,2022-06-19T19:12:10Z,2022-06-19T19:12:10Z,265.0311ms,True
1,10,2022-06-19T19:12:10Z,2022-06-19T19:12:11Z,273.8496ms,True
1,3,2022-06-19T19:12:11Z,2022-06-19T19:12:11Z,271.581ms,True
1,4,2022-06-19T19:12:11Z,2022-06-19T19:12:11Z,284.978ms,True
1,2,2022-06-19T19:12:11Z,2022-06-19T19:12:11Z,262.7953ms,True
1,8,2022-06-19T19:12:11Z,2022-06-19T19:12:12Z,262.0236ms,True
1,9,2022-06-19T19:12:12Z,2022-06-19T19:12:12Z,259.2527ms,True
1,10,2022-06-19T19:12:12Z,2022-06-19T19:12:12Z,252.4045ms,True
1,1,2022-06-19T19:12:12Z,2022-06-19T19:12:12Z,291.3197ms,True
1,9,2022-06-19T19:12:12Z,2022-06-19T19:12:13Z,280.9034ms,True
1,11,2022-06-19T19:12:13Z,2022-06-19T19:12:13Z,273.7121ms,True
1,16,2022-06-19T19:12:13Z,2022-06-19T19:12:13Z,271.7733ms,True
1,12,2022-06-19T19:12:13Z,2022-06-19T19:12:14Z,945.7652ms,True
1,10,2022-06-19T19:12:14Z,2022-06-19T19:12:14Z,310.3137ms,True
1,3,2022-06-19T19:12:14Z,2022-06-19T19:12:15Z,299.8948ms,True
1,4,2022-06-19T19:12:15Z,2022-06-19T19:12:15Z,314.9566ms,True
1,2,2022-06-19T19:12:15Z,2022-06-19T19:12:15Z,300.5132ms,True
